,SalePrice,LotFrontage,LotArea,TotalBsmtSF,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,GarageCars,MoSold,YrSold,YearBuilt,PoolArea
0,208500,65.0,8450,856,150,856,854,0,1710,2,1,3,1,8,548,2,2,2008,2003,0
1,181500,80.0,9600,1262,284,1262,0,0,1262,2,0,3,1,6,460,2,5,2007,1976,0
3,140000,60.0,9550,756,540,961,756,0,1717,1,0,3,1,7,642,3,2,2006,1915,0
4,250000,84.0,14260,1145,490,1145,1053,0,2198,2,1,4,1,9,836,3,12,2008,2000,0
6,307000,75.0,10084,1686,317,1694,0,0,1694,2,0,3,1,7,636,2,8,2007,2004,0
10,129500,70.0,11200,1040,134,1040,0,0,1040,1,0,3,1,5,384,1,2,2008,1965,0
11,345000,85.0,11924,1175,177,1182,1142,0,2324,3,0,4,1,11,736,3,7,2006,2005,0
13,279500,91.0,10652,1494,1494,1494,0,0,1494,2,0,3,1,7,840,3,8,2007,2006,0
14,157000,,10920,1253,520,1253,0,0,1253,1,1,2,1,5,352,1,5,2008,1960,0
15,132000,51.0,6120,832,832,854,0,0,854,1,0,2,1,5,576,2,7,2007,1929,0
16,149000,,11241,1004,426,1004,0,0,1004,1,0,2,1,5,480,2,3,2010,1970,0
17,90000,72.0,10791,0,0,1296,0,0,1296,2,0,2,2,6,516,2,10,2006,1967,0
19,139000,70.0,7560,1029,525,1339,0,0,1339,1,0,3,1,6,294,1,5,2009,1958,0
22,230000,75.0,9742,1777,1777,1795,0,0,1795,2,0,3,1,7,534,2,9,2008,2002,0
23,129900,44.0,4224,1040,200,1060,0,0,1060,1,0,3,1,6,572,2,6,2007,1976,0
25,256300,110.0,14230,1566,1566,1600,0,0,1600,2,0,3,1,7,890,3,7,2009,2007,0
27,306000,98.0,11478,1704,486,1704,0,0,1704,2,0,3,1,7,772,3,5,2010,2007,0
28,207500,47.0,16321,1484,207,1600,0,0,1600,1,0,2,1,6,319,1,12,2006,1957,0
29,68500,60.0,6324,520,520,520,0,0,520,1,0,1,1,4,240,1,5,2008,1927,0
30,40000,50.0,8500,649,649,649,668,0,1317,1,0,3,1,6,250,1,7,2008,1920,0
33,165500,70.0,10552,1398,380,1700,0,0,1700,1,1,4,1,6,447,2,4,2010,1959,0
34,277500,60.0,7313,1561,408,1561,0,0,1561,2,0,2,1,6,556,2,8,2007,2005,0
36,145000,112.0,10859,1097,1097,1097,0,0,1097,1,1,3,1,6,672,2,6,2009,1994,0
37,153000,74.0,8532,1297,84,1297,0,0,1297,1,0,3,1,5,498,2,10,2009,1954,0
39,82000,65.0,6040,0,0,1152,0,0,1152,2,0,2,2,6,0,0,6,2008,1955,0
41,170000,115.0,16905,1350,383,1328,0,0,1328,1,1,2,1,5,308,1,7,2007,1959,0
43,130250,,9200,938,167,938,0,0,938,1,0,3,1,5,308,1,7,2008,1975,0
44,141000,70.0,7945,1150,465,1150,0,0,1150,1,0,3,1,6,300,1,5,2006,1959,0
45,319900,61.0,7658,1752,1296,1752,0,0,1752,2,0,2,1,6,576,2,2,2010,2005,0
46,239686,48.0,12822,1434,83,1518,631,0,2149,1,1,1,1,6,670,2,8,2009,2003,0
47,249700,84.0,11096,1656,1632,1656,0,0,1656,2,0,3,1,7,826,3,7,2007,2006,0
48,113000,33.0,4456,736,736,736,716,0,1452,2,0,2,3,8,0,0,6,2009,1920,0
49,127000,66.0,7742,955,192,955,0,0,955,1,0,3,1,6,386,1,1,2007,1966,0
50,177000,,13869,794,612,794,676,0,1470,2,0,3,1,6,388,2,7,2007,1997,0
51,114500,52.0,6240,816,816,816,0,360,1176,1,0,3,1,6,528,2,9,2006,1934,0
52,110000,110.0,8472,816,0,816,0,0,816,1,0,2,1,5,516,2,5,2010,1963,0
53,385000,68.0,50271,1842,32,1842,0,0,1842,0,1,0,1,5,894,3,11,2006,1981,0
55,180500,100.0,10175,1425,935,1425,0,0,1425,2,0,3,1,7,576,2,7,2008,1964,0
57,196500,89.0,11645,860,860,860,860,0,1720,2,1,3,1,7,565,2,8,2006,2004,0
58,438780,66.0,13682,1410,1410,1426,1519,0,2945,3,1,3,1,10,641,3,10,2006,2006,0
59,124900,60.0,7200,780,148,780,0,0,780,1,0,2,1,4,352,1,1,2008,1972,0
60,158000,63.0,13072,1158,217,1158,0,0,1158,1,1,3,1,5,576,2,5,2006,2004,0
61,101000,60.0,7200,530,530,581,530,0,1111,1,0,3,1,6,288,1,3,2007,1920,0
62,202500,44.0,6442,1370,1346,1370,0,0,1370,2,0,2,1,6,484,2,10,2007,2006,0
63,140000,50.0,10300,576,576,902,808,0,1710,2,0,3,1,9,480,2,4,2010,1921,0
64,219500,,9375,1057,318,1057,977,0,2034,2,1,3,1,8,645,2,2,2009,1997,0
66,180000,,19900,1947,1035,2207,0,0,2207,2,0,3,1,7,576,2,7,2010,1970,0
67,226000,72.0,10665,1453,440,1479,0,0,1479,2,0,3,1,7,558,2,6,2007,2003,0
68,80000,47.0,4608,747,747,747,0,0,747,1,0,2,1,4,220,1,6,2010,1945,0
69,225000,81.0,15593,1304,701,1304,983,0,2287,2,0,3,1,7,667,2,7,2006,1953,0
70,244000,95.0,13651,2223,343,2223,0,0,2223,2,0,3,1,8,516,2,2,2007,1973,0
71,129500,69.0,7599,845,280,845,0,0,845,1,0,2,1,4,360,2,6,2007,1982,0
72,185000,74.0,10141,832,832,885,833,0,1718,2,1,3,1,7,427,2,12,2009,1998,0
73,144900,85.0,10200,1086,404,1086,0,0,1086,1,0,3,1,6,490,2,5,2010,1954,0
75,91000,21.0,1596,462,0,526,462,0,988,1,0,2,1,5,297,1,11,2009,1973,0
77,127000,50.0,8635,672,295,1072,213,0,1285,1,0,2,1,6,240,1,1,2008,1948,0
78,136500,72.0,10778,1768,1768,1768,0,0,1768,2,0,4,2,8,0,0,4,2010,1968,0
80,193500,100.0,13000,896,448,1182,960,0,2142,2,1,4,1,8,509,1,6,2009,1968,0
81,153500,32.0,4500,1237,36,1337,0,0,1337,2,0,2,1,5,405,2,3,2006,1998,0
82,245000,78.0,10206,1563,1530,1563,0,0,1563,2,0,3,1,6,758,3,10,2008,2007,0
84,168500,,8530,384,384,804,670,0,1474,2,1,3,1,7,400,2,5,2009,1995,0
86,174000,122.0,11911,684,684,684,876,0,1560,2,1,3,1,6,400,2,3,2009,2005,0
88,85000,105.0,8470,1013,1013,1013,0,513,1526,1,0,2,1,6,0,0,10,2009,1915,0
89,123600,60.0,8070,990,402,990,0,0,990,1,0,3,1,5,0,0,8,2007,1994,0
90,109900,60.0,7200,0,0,1040,0,0,1040,1,0,2,1,4,420,2,7,2006,1950,0
91,98600,85.0,8500,1235,635,1235,0,0,1235,1,0,2,1,6,480,2,12,2006,1961,0
92,163500,80.0,13360,876,163,964,0,0,964,1,0,2,1,5,432,2,8,2009,1921,0
93,133900,60.0,7200,1214,168,1260,1031,0,2291,2,0,4,2,9,506,2,11,2007,1910,0
94,204750,69.0,9337,824,176,905,881,0,1786,2,1,3,1,7,684,2,5,2007,1997,0
95,185000,,9765,680,370,680,790,0,1470,2,1,3,1,6,420,2,4,2009,1993,0
96,214000,78.0,10264,1588,426,1588,0,0,1588,2,0,3,1,6,472,2,8,2006,1999,0
97,94750,73.0,10921,960,440,960,0,0,960,1,0,3,1,6,432,1,5,2007,1965,0
98,83000,85.0,10625,458,350,835,0,0,835,1,0,2,1,5,366,1,5,2010,1920,0
99,128950,77.0,9320,950,381,1225,0,0,1225,1,1,3,1,6,0,0,1,2010,1959,0
101,178000,77.0,9206,741,741,977,755,0,1732,2,1,3,1,7,476,2,6,2010,1985,0
102,118964,64.0,7018,0,0,1535,0,0,1535,2,0,4,2,8,410,2,6,2009,1979,0
103,198900,94.0,10402,1226,1226,1226,0,0,1226,2,0,3,1,6,740,3,5,2010,2009,0
104,169500,,7758,1040,816,1226,592,0,1818,1,1,4,1,7,240,1,6,2007,1931,0
106,100000,60.0,10800,641,641,1047,0,0,1047,1,0,2,1,6,273,1,8,2007,1885,0
107,115000,50.0,6000,789,516,789,0,0,789,1,0,2,1,5,250,1,4,2008,1948,0
109,190000,105.0,11751,1844,1139,1844,0,0,1844,2,0,3,1,7,546,2,1,2010,1977,0
110,136900,75.0,9525,994,550,1216,639,0,1855,2,0,4,1,7,325,1,10,2006,1954,0
111,180000,,7750,384,134,774,656,0,1430,2,1,3,1,7,400,2,4,2010,2000,0
114,259500,61.0,7259,1028,104,1436,884,0,2320,2,1,3,1,9,180,1,7,2007,1945,0
115,176000,34.0,3230,729,310,729,729,0,1458,2,1,2,1,5,440,2,6,2007,1999,0
116,139000,,11616,1092,252,1092,0,0,1092,1,0,3,1,6,288,1,9,2009,1962,0
117,155000,74.0,8536,1125,1125,1125,0,0,1125,1,1,2,1,5,430,2,4,2007,2006,0
118,320000,90.0,12376,1673,203,1699,1523,0,3222,3,0,5,1,11,594,3,5,2010,1990,0
122,136000,75.0,9464,1080,510,1080,0,0,1080,1,0,3,1,5,288,1,6,2008,1958,0
